item,item_code,quantity,unit_price,total_sales_amount,date,type
pint spotted cow,3140,64.0,3.9375,252.0,2021-01-08,beer
dbl rail vodka,3455,37.0,4.9459459459459,183.0,2021-01-08,vodka
bottle miller high life,3122,31.0,3.25,100.75,2021-01-08,beer
pint stein,3141,29.0,3.5172413793103,102.0,2021-01-08,beer
shot seagrams vo,3325,26.0,2.4230769230769,63.0,2021-01-08,scotch/whiskey
can pabst blue ribbon 16oz,3129,24.0,4.0,96.0,2021-01-08,beer
pint moon man,3349,21.0,2.4285714285714,51.0,2021-01-08,beer
shot jameson,3317,20.0,2.2,44.0,2021-01-08,scotch/whiskey
locust st. wings half,2858,19.0,5.9210526315789,112.5,2021-01-08,appetizers
shot skyy peach,3665,19.0,1.1052631578947,21.0,2021-01-08,vodka
skyy cherry bomb,3370,18.0,2.6666666666667,48.0,2021-01-08,vodka
grilled cheese,2734,17.0,3.0,51.0,2021-01-08,sandwich
shot rumpleminz,3242,17.0,2.8235294117647,48.0,2021-01-08,rum
pc pollack,2800,16.0,2.3125,37.0,2021-01-08,fish
riverwest burger,2714,16.0,11.09375,177.5,2021-01-08,burger
cheese curds,2728,15.0,7.5666666666667,113.5,2021-01-08,appetizers
locust st wings full,2729,15.0,11.233333333333,168.5,2021-01-08,appetizers
pint lkft ipa,3136,14.0,3.9642857142857,55.5,2021-01-08,beer
all american burger,2840,13.0,7.4038461538462,96.25,2021-01-08,burger
perch fry,2830,12.0,13.281666666667,159.38,2021-01-08,fish
skyy peach bomb,3367,12.0,3.3333333333333,40.0,2021-01-08,vodka
skyy raspberry bomb,3369,12.0,4.0,48.0,2021-01-08,vodka
shot crown royal,3529,12.0,3.3333333333333,40.0,2021-01-08,scotch/whiskey
shot tullamore dew,3327,11.0,3.6363636363636,40.0,2021-01-08,scotch/whiskey
cheese burger,2841,11.0,8.1363636363636,89.5,2021-01-08,burger
glass water,3162,11.0,0.0,0.0,2021-01-08,nonalcoholic
french fries,2731,10.0,2.05,20.5,2021-01-08,side
fish fry,2722,10.0,10.65,106.5,2021-01-08,fish
dbl jack daniels,3526,10.0,6.4,64.0,2021-01-08,scotch/whiskey
dbl rail whiskey,3459,10.0,3.9,39.0,2021-01-08,scotch/whiskey
dbl rail tequila,3461,10.0,4.8,48.0,2021-01-08,tequila
rail vodka,3339,9.0,3.5,31.5,2021-01-08,vodka
buffalo chicken sammy,3707,9.0,6.6166666666667,59.55,2021-01-08,sandwich
combo fry,2736,9.0,13.611111111111,122.5,2021-01-08,fish
3 part combo,2831,8.0,16.3025,130.42,2021-01-08,fish
dbl jim beam,3530,8.0,7.0,56.0,2021-01-08,bourbon
shot bulleit rye,3590,8.0,4.0,32.0,2021-01-08,scotch/whiskey
shot rail vodka,3456,8.0,3.0,24.0,2021-01-08,vodka
dbl jose cuervo,3474,7.0,6.0,42.0,2021-01-08,tequila
shot cazadores reposado,3479,7.0,3.4285714285714,24.0,2021-01-08,tequila
dbl skyy raspb,3668,7.0,6.0,42.0,2021-01-08,vodka
tracks big boy,3704,7.0,10.142857142857,71.0,2021-01-08,burger
sriracha strips,2730,7.0,7.4285714285714,52.0,2021-01-08,appetizers
bottle blue moon,3113,7.0,4.5,31.5,2021-01-08,beer
chili cheese poutine,2801,6.0,7.0833333333333,42.5,2021-01-08,appetizers
bottle budweiser,3115,6.0,4.5,27.0,2021-01-08,beer
shot campari,3549,6.0,3.0,18.0,2021-01-08,liqueur
dbl tullamore dew,3536,6.0,6.6666666666667,40.0,2021-01-08,scotch/whiskey
shot cazadores blanco,3481,6.0,4.0,24.0,2021-01-08,tequila
skyy apricot bomb,3368,6.0,1.3333333333333,8.0,2021-01-08,vodka
pint lkft hazy rabbit,3348,6.0,3.0,18.0,2021-01-08,beer
dbl rail brandy,3448,6.0,5.3333333333333,32.0,2021-01-08,brandy
skyy orange bomb,3372,5.0,2.4,12.0,2021-01-08,vodka
dbl seagrams 7,3594,5.0,7.0,35.0,2021-01-08,scotch/whiskey
can coors light,3116,5.0,2.4,12.0,2021-01-08,beer
bowl soup,2713,5.0,4.0,20.0,2021-01-08,side
pint miller high life,3137,5.0,3.0,15.0,2021-01-08,beer
coke,3154,5.0,1.5,7.5,2021-01-08,nonalcoholic
moscow mule,3207,5.0,7.0,35.0,2021-01-08,cocktail
shot dr mcgullicuddys,3226,4.0,3.0,12.0,2021-01-08,liqueur
soda/juice,3183,4.0,1.5,6.0,2021-01-08,nonalcoholic
can press pom/gin,3131,4.0,5.0,20.0,2021-01-08,hard seltzer
bowl chili,2696,4.0,4.0,16.0,2021-01-08,side
bottle corona,3117,4.0,4.5,18.0,2021-01-08,beer
plain chicken strips,2867,4.0,8.0,32.0,2021-01-08,appetizers
pc perch,2869,4.0,1.0,4.0,2021-01-08,fish
side lg nacho cheese,2816,4.0,1.5,6.0,2021-01-08,side
shot jim beam,3531,4.0,1.0,4.0,2021-01-08,bourbon
house red,3699,4.0,4.0,16.0,2021-01-08,wine
nashville hot chicken,3706,4.0,9.25,37.0,2021-01-08,entree
shot captain morgan,3497,4.0,4.0,16.0,2021-01-08,rum
dbl hendricks gin,3485,3.0,9.0,27.0,2021-01-08,gin
shot jack daniels,3527,3.0,4.0,12.0,2021-01-08,scotch/whiskey
shot fernet,3507,3.0,4.0,12.0,2021-01-08,liqueur
dbl rail rum,3457,3.0,4.0,12.0,2021-01-08,rum
bottle miller lite,3391,3.0,2.1666666666667,6.5,2021-01-08,beer
dbl rail gin,3453,3.0,5.0,15.0,2021-01-08,gin
diet coke,3158,3.0,1.5,4.5,2021-01-08,nonalcoholic
pint angry orchard,3352,3.0,3.0,9.0,2021-01-08,hard cider
dbl titos,3654,3.0,8.0,24.0,2021-01-08,vodka
dbl jameson,3538,3.0,8.0,24.0,2021-01-08,scotch/whiskey
dbl gran marnier,3546,3.0,10.0,30.0,2021-01-08,liqueur
chix caeser wrap,2838,3.0,7.96,23.88,2021-01-08,sandwich
bottle mgd,3121,3.0,3.25,9.75,2021-01-08,beer
bloody mary,3199,3.0,7.6666666666667,23.0,2021-01-08,cocktail
long island,3204,3.0,8.0,24.0,2021-01-08,cocktail
bottle spaten lager,3127,3.0,5.0,15.0,2021-01-08,beer
can ginger ale,3150,2.0,1.5,3.0,2021-01-08,nonalcoholic
shirley temple,3182,2.0,1.75,3.5,2021-01-08,nonalcoholic
cocktail of the week,3250,2.0,4.0,8.0,2021-01-08,special
dbl of the week,3251,2.0,0.0,0.0,2021-01-08,special
captain morgan,3258,2.0,5.0,10.0,2021-01-08,rum
bottle odouls,3125,2.0,3.25,6.5,2021-01-08,beer
pit miller lite,3143,2.0,11.0,22.0,2021-01-08,beer
pit spotted cow,3145,2.0,15.0,30.0,2021-01-08,beer
side mayo,2849,2.0,0.25,0.5,2021-01-08,side
chix caesar salad,2871,2.0,9.0,18.0,2021-01-08,salad
cup soup,2872,2.0,2.5,5.0,2021-01-08,side
bottle eastside dark,3118,2.0,5.0,10.0,2021-01-08,beer
bottle lkft fixed gear,3120,2.0,5.0,10.0,2021-01-08,beer
tater tots,2836,2.0,2.0,4.0,2021-01-08,side
house salad sm,2837,2.0,3.75,7.5,2021-01-08,salad
bottle hop refresher,3703,2.0,4.5,9.0,2021-01-08,beer
shot skyy cherry,3671,2.0,1.5,3.0,2021-01-08,vodka
house white,3698,2.0,4.0,8.0,2021-01-08,wine
patty melt,3705,2.0,9.5,19.0,2021-01-08,sandwich
rail gin,3341,2.0,3.5,7.0,2021-01-08,gin
shot rail gin,3454,2.0,3.0,6.0,2021-01-08,gin
shot jose cuervo,3475,2.0,1.5,3.0,2021-01-08,tequila
shot patron xo,3477,1.0,4.0,4.0,2021-01-08,tequila
shot rail tequila,3462,1.0,3.0,3.0,2021-01-08,tequila
coke - refill,3464,1.0,0.0,0.0,2021-01-08,nonalcoholic
shot rail whiskey,3460,1.0,3.0,3.0,2021-01-08,scotch/whiskey
shot meyers dark,3505,1.0,3.0,3.0,2021-01-08,rum
rail rum,3343,1.0,3.5,3.5,2021-01-08,rum
pint abita turbodog,3353,1.0,4.5,4.5,2021-01-08,beer
pit lkft hazy rabbit,3359,1.0,15.0,15.0,2021-01-08,beer
shot skyy raspb,3669,1.0,3.0,3.0,2021-01-08,vodka
dbl skyy cherry,3670,1.0,7.0,7.0,2021-01-08,vodka
shot makers mark,3535,1.0,4.0,4.0,2021-01-08,bourbon
side ranch,2815,1.0,0.25,0.25,2021-01-08,side
shrimp fry,2735,1.0,9.99,9.99,2021-01-08,fish
house salad lg,2697,1.0,7.5,7.5,2021-01-08,salad
thurs burger,2886,1.0,3.0,3.0,2021-01-08,burger
side sm nacho chez,2852,1.0,0.0,0.0,2021-01-08,side
side bbq,2821,1.0,0.25,0.25,2021-01-08,side
pit stein,3146,1.0,15.0,15.0,2021-01-08,beer
7-up,3147,1.0,1.5,1.5,2021-01-08,nonalcoholic
pit miller high life,3142,1.0,11.0,11.0,2021-01-08,beer
bottle bud light,3114,1.0,4.5,4.5,2021-01-08,beer
bottle modelo especial,3124,1.0,4.5,4.5,2021-01-08,beer
absolut,3286,1.0,8.0,8.0,2021-01-08,vodka
fireball,3313,1.0,5.0,5.0,2021-01-08,scotch/whiskey
jack daniels,3315,1.0,5.0,5.0,2021-01-08,scotch/whiskey
seagrams 7,3324,1.0,4.0,4.0,2021-01-08,scotch/whiskey
cranberry jc,3156,1.0,1.5,1.5,2021-01-08,nonalcoholic
dbl rail vodka,3455,131.0,4.9732824427481,651.5,2020-01-10,vodka
skyy orange bomb,3372,87.0,1.7931034482759,156.0,2020-01-10,vodka
shot seagrams vo,3325,84.0,1.8928571428571,159.0,2020-01-10,scotch/whiskey
shot tullamore dew,3327,84.0,2.4285714285714,204.0,2020-01-10,scotch/whiskey
skyy raspberry bomb,3369,82.0,2.0975609756098,172.0,2020-01-10,vodka
pint spotted cow,3140,65.0,3.8076923076923,247.5,2020-01-10,beer
pint stein,3141,65.0,4.0384615384615,262.5,2020-01-10,beer
pint schlitz,3139,64.0,2.859375,183.0,2020-01-10,beer
bottle miller high life,3122,63.0,2.734126984127,172.25,2020-01-10,beer
glass water,3162,43.0,0.0,0.0,2020-01-10,nonalcoholic
pint lkft ipa,3136,40.0,3.6,144.0,2020-01-10,beer
pint moon man,3349,38.0,3.7105263157895,141.0,2020-01-10,beer
shot fernet,3507,37.0,2.8108108108108,104.0,2020-01-10,liqueur
dbl rail whiskey,3459,35.0,5.0714285714286,177.5,2020-01-10,scotch/whiskey
skyy ginger bomb,3371,34.0,2.1176470588235,72.0,2020-01-10,vodka
grilled cheese,2734,34.0,4.3088235294118,146.5,2020-01-10,sandwich
pint lkft hazy rabbit,3348,33.0,3.5909090909091,118.5,2020-01-10,beer
bottle miller lite,3391,32.0,3.046875,97.5,2020-01-10,beer
pint miller high life,3137,31.0,3.0,93.0,2020-01-10,beer
shot hennessey,3450,30.0,4.6666666666667,140.0,2020-01-10,brandy
soda/juice,3183,27.0,1.5,40.5,2020-01-10,nonalcoholic
