item_code,type,type_num,gen_num,general
3140,beer,2,1,drinks
3122,beer,2,1,drinks
3141,beer,2,1,drinks
3129,beer,2,1,drinks
3349,beer,2,1,drinks
3136,beer,2,1,drinks
3113,beer,2,1,drinks
3115,beer,2,1,drinks
3348,beer,2,1,drinks
3116,beer,2,1,drinks
3137,beer,2,1,drinks
3117,beer,2,1,drinks
3391,beer,2,1,drinks
3121,beer,2,1,drinks
3127,beer,2,1,drinks
3125,beer,2,1,drinks
3143,beer,2,1,drinks
3145,beer,2,1,drinks
3118,beer,2,1,drinks
3120,beer,2,1,drinks
3703,beer,2,1,drinks
3353,beer,2,1,drinks
3359,beer,2,1,drinks
3146,beer,2,1,drinks
3142,beer,2,1,drinks
3114,beer,2,1,drinks
3124,beer,2,1,drinks
3140,beer,2,1,drinks
3141,beer,2,1,drinks
3139,beer,2,1,drinks
3122,beer,2,1,drinks
3136,beer,2,1,drinks
3349,beer,2,1,drinks
3348,beer,2,1,drinks
3391,beer,2,1,drinks
3137,beer,2,1,drinks
3144,beer,2,1,drinks
3138,beer,2,1,drinks
3143,beer,2,1,drinks
3117,beer,2,1,drinks
3129,beer,2,1,drinks
3116,beer,2,1,drinks
3353,beer,2,1,drinks
3351,beer,2,1,drinks
3114,beer,2,1,drinks
3115,beer,2,1,drinks
3142,beer,2,1,drinks
3145,beer,2,1,drinks
3126,beer,2,1,drinks
3697,beer,2,1,drinks
3120,beer,2,1,drinks
3359,beer,2,1,drinks
3125,beer,2,1,drinks
3119,beer,2,1,drinks
3113,beer,2,1,drinks
3121,beer,2,1,drinks
3118,beer,2,1,drinks
3127,beer,2,1,drinks
3134,beer,2,1,drinks
3349,beer,2,1,drinks
3140,beer,2,1,drinks
3137,beer,2,1,drinks
3129,beer,2,1,drinks
3348,beer,2,1,drinks
3122,beer,2,1,drinks
3136,beer,2,1,drinks
3141,beer,2,1,drinks
3116,beer,2,1,drinks
3391,beer,2,1,drinks
3114,beer,2,1,drinks
3115,beer,2,1,drinks
3703,beer,2,1,drinks
3117,beer,2,1,drinks
3121,beer,2,1,drinks
3125,beer,2,1,drinks
3127,beer,2,1,drinks
3142,beer,2,1,drinks
