Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
RAIL Vodka,3339,46.0,4.8260869565217,222.0,2019-02-15
PINT LKFT IPA,3136,44.0,3.5795454545455,157.5,2019-02-15
SHOT Tullamore Dew,3327,38.0,4.0,152.0,2019-02-15
PINT Spotted Cow,3140,36.0,3.75,135.0,2019-02-15
PINT Miller High Life,3137,30.0,3.0,90.0,2019-02-15
PINT Stein,3141,25.0,3.78,94.5,2019-02-15
Skyy Raspberry BOMB,3369,22.0,4.0,88.0,2019-02-15
PINT Miller Lite,3138,21.0,3.0,63.0,2019-02-15
BTL Miller High Life,3122,16.0,3.25,52.0,2019-02-15
PINT LKFT Hazy Rabbit,3348,16.0,3.375,54.0,2019-02-15
RAIL Whiskey,3340,14.0,4.7142857142857,66.0,2019-02-15
PINT Beer of the Week,3356,14.0,3.0,42.0,2019-02-15
PINT Moon Man,3349,13.0,3.4615384615385,45.0,2019-02-15
SHOT Seagrams VO,3325,12.0,4.0,48.0,2019-02-15
PINT Schlitz,3139,10.0,3.0,30.0,2019-02-15
Skyy Orange BOMB,3372,10.0,4.0,40.0,2019-02-15
CAN Coors Light,3116,9.0,4.0,36.0,2019-02-15
SHOT Jameson,3317,8.0,4.0,32.0,2019-02-15
BTL Blue Moon,3113,7.0,4.5,31.5,2019-02-15
CAN PBR 16oz,3129,7.0,4.0,28.0,2019-02-15
PIT Schlitz,3144,7.0,10.0,70.0,2019-02-15
PIT Miller Lite,3143,6.0,10.0,60.0,2019-02-15
SHOT of the WEEK,3254,6.0,3.0,18.0,2019-02-15
BTL Miller Lite,3123,6.0,3.25,19.5,2019-02-15
Titos,3307,6.0,7.0,42.0,2019-02-15
PINT O&apos;&apos;so Hop Debacle,3355,6.0,3.0,18.0,2019-02-15
Skyy Apricot BOMB,3368,5.0,4.0,20.0,2019-02-15
PINT Abita TurboDog,3353,5.0,3.6,18.0,2019-02-15
HH PINT Abita Wrought Iron,3354,5.0,3.3,16.5,2019-02-15
SHOT Dr McGullicuddys,3226,5.0,3.0,15.0,2019-02-15
Sambuca,3243,4.0,4.0,16.0,2019-02-15
Moscow Mule,3207,4.0,7.0,28.0,2019-02-15
BTL Modelo Especial,3124,4.0,4.5,18.0,2019-02-15
BTL Pabst,3126,4.0,3.25,13.0,2019-02-15
Jack Daniels,3315,4.0,6.25,25.0,2019-02-15
Skyy Cherry,3297,4.0,4.625,18.5,2019-02-15
