Michael 30,The Tracks Tavern and Grill,09/23/2021 15:10:41
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
BTL Miller High Life,3122,,103.0000,3.25,334.75
RAIL Vodka,3339,,94.0000,5.0425531914894,474
PINT Spotted Cow,3140,,92.0000,3.929347826087,361.5
SHOT Tullamore Dew,3327,,85.0000,3.8588235294118,328
PINT LKFT IPA,3136,,70.0000,3.6642857142857,256.5
PINT Stein,3141,,67.0000,3.8955223880597,261
Skyy Raspberry BOMB,3369,,67.0000,3.9402985074627,264
Skyy Orange BOMB,3372,,62.0000,4,248
RAIL Whiskey,3340,,57.0000,4.9649122807018,283
SHOT Seagrams VO,3325,,51.0000,3.1764705882353,162
PINT Miller Lite,3138,,50.0000,3,150
PINT Miller High Life,3137,,45.0000,3,135
SHOT Jameson,3317,,45.0000,4.2888888888889,193
CAN PBR 16oz,3129,,35.0000,4,140
PINT LKFT Hazy Rabbit,3348,,34.0000,3.7058823529412,126
Hennessey,3190,,33.0000,7.5757575757576,250
PINT Moon Man,3349,,31.0000,3.3870967741935,105
BTL Miller Lite,3391,,26.0000,3.25,84.5
SHOT of the WEEK,3254,,21.0000,3,63
Cazadores Blanco,3280,,21.0000,4.2380952380952,89
PINT Guinness,3350,,19.0000,4.1315789473684,78.5
RAIL Rum,3343,,18.0000,5,90
RAIL Tequila,3344,,18.0000,4.8333333333333,87
PINT Schlitz,3139,,18.0000,3,54
PIT Schlitz,3144,,17.0000,10,170
PINT Beer of the Week,3356,,17.0000,3,51
HH PINT Abita Wrought Iron,3354,,15.0000,4.4,66
RAIL Gin,3341,,15.0000,4.2666666666667,64
Jack Daniels,3315,,15.0000,8,120
PIT Miller Lite,3143,,15.0000,10,150
PINT K4 Fantasy Factory,3351,,14.0000,3.5357142857143,49.5
RWPC Pint,3408,,14.0000,2.9285714285714,41
Bloody Mary,3199,,12.0000,7.1666666666667,86
SHOT Dr McGullicuddys,3226,,11.0000,3,33
Skyy Cherry BOMB,3370,,11.0000,4,44
HH PINT Angry Orchard,3352,,11.0000,3.6818181818182,40.5
PINT O&apos;&apos;so Hop Debacle,3355,,10.0000,3.6,36
Skyy Cherry,3297,,10.0000,6,60
Skyy Orange,3299,,10.0000,5.7,57
Cuervo Gold,3282,,9.0000,4,36
Captain Morgan,3258,,9.0000,7.1111111111111,64
BTL Pabst,3126,,9.0000,3.25,29.25
Skyy Ginger BOMB,3371,,8.0000,4,32
PINT Abita TurboDog,3353,,8.0000,3.5625,28.5
Tanqueray,3219,,7.0000,7.4285714285714,52
Skyy Raspberry,3302,,7.0000,6,42
Titos,3307,,6.0000,8,48
CAN Press Blk/Hyb,3130,,6.0000,5,30
PIT Moon Man,3357,,6.0000,14,84
PIT Beer of the Week,3362,,6.0000,10,60
Jim Beam,3318,,5.0000,6.4,32
Makers Mark,3322,,5.0000,8.8,44
BTL Miller Lite,3123,,5.0000,3.25,16.25
PIT Spotted Cow,3145,,5.0000,14,70
CAN Schlitz 16oz,3134,,5.0000,4,20
Crown Royal,3312,,5.0000,6.8,34
Fireball,3313,,5.0000,4,20
Trinidad Tea,3213,,5.0000,8,40
Fernet,3228,,4.0000,4,16
Bacardi,3255,,4.0000,5.5,22
SHOT Rumpleminz,3242,,4.0000,4,16
Jack Daniels Honey,3316,,4.0000,6,24
Bulleit Bourbon,3308,,4.0000,5.75,23
PIT Miller High Life,3142,,4.0000,10,40
Korbel,3191,,4.0000,5,20
BTL Blue Moon,3113,,4.0000,4.5,18
BTL Bud Light,3114,,4.0000,4,16
CAN Coors Light,3116,,4.0000,4,16
CAN Press Lime,3132,,4.0000,5,20
BTL ODouls,3125,,4.0000,3.25,13
CAN Crispin 16oz,3128,,4.0000,5,20
Cab/Merlot,3329,,4.0000,5,20
Skyy Apricot BOMB,3368,,4.0000,4,16
RAIL Brandy,3342,,3.0000,4.8333333333333,14.5
BTL Spaten Lager,3127,,3.0000,4.5,13.5
PIT Stein,3146,,3.0000,14,42
CAN N.G. Staghorn,3135,,3.0000,5,15
Smirnoff Red,3303,,3.0000,6.6666666666667,20
Absolut,3286,,3.0000,7,21
Absolut Citron,3287,,3.0000,8,24
Ciroc,3289,,2.0000,4,8
Ketel One,3292,,2.0000,8,16
Cazadores Reposado,3281,,2.0000,4,8
Mind Eraser,3267,,2.0000,6,12
Bacardi Limon,3257,,2.0000,5,10
Baileys Irish,3221,,2.0000,4,8
SHOT Goldschlager,3230,,2.0000,4,8
SHOT Jagermeister,3234,,2.0000,4,8
Moscow Mule,3207,,2.0000,7,14
Long Island,3204,,2.0000,8,16
BTL Corona,3117,,2.0000,4.5,9
Seagrams 7,3324,,2.0000,6,12
Skyy Peach BOMB,3367,,2.0000,4,8
BTL Bud Light,3388,,2.0000,4,8
PIT Oso Hop Debacle,3365,,1.0000,14,14
Mount Royal,3323,,1.0000,4,4
BTL LH Milk Stout,3119,,1.0000,4.5,4.5
BTL LKFT Fixed Gear,3120,,1.0000,4.5,4.5
BTL MGD,3121,,1.0000,3.25,3.25
BTL Budweiser,3115,,1.0000,4,4
BTL Modelo Especial,3124,,1.0000,4.5,4.5
CAN Press GF/CAR,3133,,1.0000,5,5
CAN Press Pom/Gin,3131,,1.0000,5,5
Mango Mimosa,3205,,1.0000,6,6
Mimosa,3206,,1.0000,4,4
Brew Crew Margarita,3200,,1.0000,7,7
Irish Coffee,3202,,1.0000,7,7
White Russian,3215,,1.0000,5,5
Bombay Sapphire,3216,,1.0000,9,9
Coconut Jack,3259,,1.0000,4,4
Dewers White,3263,,1.0000,5,5
