Michael 30,The Tracks Tavern and Grill,09/27/2021 12:39:09
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
Skyy Raspberry BOMB,3369,,169.0000,3.1242603550296,528
DBL RAIL Vodka,3455,,167.0000,5.4505988023952,910.25
Skyy Orange BOMB,3372,,117.0000,1.7094017094017,200
SHOT Tullamore Dew,3327,,115.0000,2.9565217391304,340
PINT Spotted Cow,3140,,74.0000,4.1148648648649,304.5
BTL Miller High Life,3122,,64.0000,2.5390625,162.5
Skyy Peach BOMB,3367,,60.0000,3,180
SHOT Seagrams VO,3325,,56.0000,1.9285714285714,108
Skyy Ginger BOMB,3371,,53.0000,2.4905660377358,132
DBL RAIL Whiskey,3459,,52.0000,4.5961538461538,239
Glass Water,3162,,52.0000,0,0
Locust St Wings FULL,2729,,51.0000,10.43137254902,532
GRILLED CHEESE,2734,,48.0000,4.0416666666667,194
PINT LKFT Hazy Rabbit,3348,,46.0000,3.6195652173913,166.5
PIT Schlitz,3144,,44.0000,11,484
CAN PBR 16oz,3129,,41.0000,3.9024390243902,160
PIT Miller Lite,3143,,40.0000,10.725,429
PINT Miller Lite,3138,,38.0000,3,114
Sriracha Strips,2730,,38.0000,8.3552631578947,317.5
Locust St. Wings HALF,2858,,38.0000,6.0263157894737,229
PINT LKFT IPA,3136,,36.0000,3.4583333333333,124.5
CAN Press GF/CAR,3133,,35.0000,4.5714285714286,160
Cheese Curds,2728,,34.0000,6.5588235294118,223
PINT Schlitz,3139,,33.0000,3,99
PINT Stein,3141,,32.0000,3.890625,124.5
PIT WATER,3400,,32.0000,0,0
PIT Spotted Cow,3145,,31.0000,15,465
CAN Press Blk/Hyb,3130,,30.0000,4.5,135
SHOT Skyy Raspb,3669,,28.0000,1.6071428571429,45
PINT Moon Man,3349,,27.0000,3.3888888888889,91.5
SHOT Cazadores Blanco,3481,,27.0000,3.2592592592593,88
SHOT Skyy,3663,,26.0000,3,78
PIT Miller High Life,3142,,26.0000,11,286
FISH FRY,2722,,24.0000,9.7020833333333,232.85
SHOT Hennessey,3450,,24.0000,3.9583333333333,95
DBL RAIL Rum,3457,,23.0000,4.7173913043478,108.5
SHOT Fernet,3507,,23.0000,2.4347826086957,56
DBL Titos,3654,,23.0000,7.8260869565217,180
Bloody Mary,3199,,23.0000,7.1304347826087,164
CAN Coors Light,3116,,22.0000,4,88
All American Burger,2840,,22.0000,6.6590909090909,146.5
Skyy Cherry BOMB,3370,,22.0000,2.5454545454545,56
BTL Miller Lite,3391,,21.0000,3.25,68.25
DBL RAIL Gin,3453,,21.0000,5.0952380952381,107
Tater Tots,2836,,21.0000,1.9642857142857,41.25
SHOT Dr McGullicuddys,3226,,21.0000,2.2857142857143,48
