item,item_code,quantity,unit_price,total_sales_amount,date,Type
PINT Spotted Cow,3140,64.0,3.9375,252.0,2021-01-08,Beer
DBL RAIL Vodka,3455,37.0,4.9459459459459,183.0,2021-01-08,Vodka
BTL Miller High Life,3122,31.0,3.25,100.75,2021-01-08,Beer
PINT Stein,3141,29.0,3.5172413793103,102.0,2021-01-08,Beer
SHOT Seagrams VO,3325,26.0,2.4230769230769,63.0,2021-01-08,Scotch/Whiskey
CAN PBR 16oz,3129,24.0,4.0,96.0,2021-01-08,Beer
PINT Moon Man,3349,21.0,2.4285714285714,51.0,2021-01-08,Beer
SHOT Jameson,3317,20.0,2.2,44.0,2021-01-08,Scotch/Whiskey
Locust St. Wings HALF,2858,19.0,5.9210526315789,112.5,2021-01-08,Appetizers
SHOT Skyy Peach,3665,19.0,1.1052631578947,21.0,2021-01-08,Vodka
Skyy Cherry BOMB,3370,18.0,2.6666666666667,48.0,2021-01-08,Vodka
GRILLED CHEESE,2734,17.0,3.0,51.0,2021-01-08,Sandwich
SHOT Rumpleminz,3242,17.0,2.8235294117647,48.0,2021-01-08,Rum
PC Pollack,2800,16.0,2.3125,37.0,2021-01-08,Fish
RIVERWEST BURGER,2714,16.0,11.09375,177.5,2021-01-08,Burger
Cheese Curds,2728,15.0,7.5666666666667,113.5,2021-01-08,Appetizers
Locust St Wings FULL,2729,15.0,11.233333333333,168.5,2021-01-08,Appetizers
PINT LKFT IPA,3136,14.0,3.9642857142857,55.5,2021-01-08,Beer
All American Burger,2840,13.0,7.4038461538462,96.25,2021-01-08,Burger
Perch FRY,2830,12.0,13.281666666667,159.38,2021-01-08,Fish
Skyy Peach BOMB,3367,12.0,3.3333333333333,40.0,2021-01-08,Vodka
Skyy Raspberry BOMB,3369,12.0,4.0,48.0,2021-01-08,Vodka
SHOT Crown Royal,3529,12.0,3.3333333333333,40.0,2021-01-08,Scotch/Whiskey
SHOT Tullamore Dew,3327,11.0,3.6363636363636,40.0,2021-01-08,Scotch/Whiskey
CHEESE burger,2841,11.0,8.1363636363636,89.5,2021-01-08,Burger
Glass Water,3162,11.0,0.0,0.0,2021-01-08,NonAlcoholic
French Fries,2731,10.0,2.05,20.5,2021-01-08,Side
FISH FRY,2722,10.0,10.65,106.5,2021-01-08,Fish
DBL Jack Daniels,3526,10.0,6.4,64.0,2021-01-08,Scotch/Whiskey
DBL RAIL Whiskey,3459,10.0,3.9,39.0,2021-01-08,Scotch/Whiskey
DBL RAIL Tequila,3461,10.0,4.8,48.0,2021-01-08,Tequila
RAIL Vodka,3339,9.0,3.5,31.5,2021-01-08,Vodka
Buffalo Chicken Sammy,3707,9.0,6.6166666666667,59.55,2021-01-08,Sandwich
COMBO FRY,2736,9.0,13.611111111111,122.5,2021-01-08,Fish
3 PART COMBO,2831,8.0,16.3025,130.42,2021-01-08,Fish
DBL Jim Beam,3530,8.0,7.0,56.0,2021-01-08,Bourbon
SHOT Bulleit Rye,3590,8.0,4.0,32.0,2021-01-08,Scotch/Whiskey
SHOT RAIL Vodka,3456,8.0,3.0,24.0,2021-01-08,Vodka
DBL Jose Cuervo,3474,7.0,6.0,42.0,2021-01-08,Tequila
SHOT Cazadores Reposado,3479,7.0,3.4285714285714,24.0,2021-01-08,Tequila
DBL Skyy Raspb,3668,7.0,6.0,42.0,2021-01-08,Vodka
Tracks Big Boy,3704,7.0,10.142857142857,71.0,2021-01-08,Breakfast
Sriracha Strips,2730,7.0,7.4285714285714,52.0,2021-01-08,Appetizers
BTL Blue Moon,3113,7.0,4.5,31.5,2021-01-08,Beer
Chili Cheese Poutine,2801,6.0,7.0833333333333,42.5,2021-01-08,Appetizers
BTL Budweiser,3115,6.0,4.5,27.0,2021-01-08,Beer
SHOT Campari,3549,6.0,3.0,18.0,2021-01-08,Liqueur
DBL Tullamore Dew,3536,6.0,6.6666666666667,40.0,2021-01-08,Scotch/Whiskey
SHOT Cazadores Blanco,3481,6.0,4.0,24.0,2021-01-08,Tequila
Skyy Apricot BOMB,3368,6.0,1.3333333333333,8.0,2021-01-08,Vodka
PINT LKFT Hazy Rabbit,3348,6.0,3.0,18.0,2021-01-08,Beer
DBL RAIL Brandy,3448,6.0,5.3333333333333,32.0,2021-01-08,Brandy
Skyy Orange BOMB,3372,5.0,2.4,12.0,2021-01-08,Vodka
DBL Seagrams 7,3594,5.0,7.0,35.0,2021-01-08,Scotch/Whiskey
CAN Coors Light,3116,5.0,2.4,12.0,2021-01-08,Beer
Bowl SOUP,2713,5.0,4.0,20.0,2021-01-08,Side
PINT Miller High Life,3137,5.0,3.0,15.0,2021-01-08,Beer
Coke,3154,5.0,1.5,7.5,2021-01-08,NonAlcoholic
Moscow Mule,3207,5.0,7.0,35.0,2021-01-08,Cocktail
SHOT Dr McGullicuddys,3226,4.0,3.0,12.0,2021-01-08,Liqueur
Soda/Juice,3183,4.0,1.5,6.0,2021-01-08,NonAlcoholic
CAN Press Pom/Gin,3131,4.0,5.0,20.0,2021-01-08,Hard Seltzer
Bowl CHILI,2696,4.0,4.0,16.0,2021-01-08,Side
BTL Corona,3117,4.0,4.5,18.0,2021-01-08,Beer
Plain Chicken Strips,2867,4.0,8.0,32.0,2021-01-08,Appetizers
PC Perch,2869,4.0,1.0,4.0,2021-01-08,Fish
SIDE LG NACHO CHEESE,2816,4.0,1.5,6.0,2021-01-08,Side
SHOT Jim Beam,3531,4.0,1.0,4.0,2021-01-08,Bourbon
House Red,3699,4.0,4.0,16.0,2021-01-08,Wine
Nashville Hot Chicken,3706,4.0,9.25,37.0,2021-01-08,Entree
SHOT Captain Morgan,3497,4.0,4.0,16.0,2021-01-08,Rum
DBL Hendricks Gin,3485,3.0,9.0,27.0,2021-01-08,Gin
SHOT Jack Daniels,3527,3.0,4.0,12.0,2021-01-08,Scotch/Whiskey
SHOT Fernet,3507,3.0,4.0,12.0,2021-01-08,Liqueur
DBL RAIL Rum,3457,3.0,4.0,12.0,2021-01-08,Rum
BTL Miller Lite,3391,3.0,2.1666666666667,6.5,2021-01-08,Beer
DBL RAIL Gin,3453,3.0,5.0,15.0,2021-01-08,Gin
Diet Coke,3158,3.0,1.5,4.5,2021-01-08,NonAlcoholic
PINT Angry Orchard,3352,3.0,3.0,9.0,2021-01-08,Hard Cider
DBL Titos,3654,3.0,8.0,24.0,2021-01-08,Vodka
DBL Jameson,3538,3.0,8.0,24.0,2021-01-08,Scotch/Whiskey
DBL Gran Marnier,3546,3.0,10.0,30.0,2021-01-08,Liqueur
Chix Caeser Wrap,2838,3.0,7.96,23.88,2021-01-08,Sandwich
BTL MGD,3121,3.0,3.25,9.75,2021-01-08,Beer
Bloody Mary,3199,3.0,7.6666666666667,23.0,2021-01-08,Cocktail
Long Island,3204,3.0,8.0,24.0,2021-01-08,Cocktail
BTL Spaten Lager,3127,3.0,5.0,15.0,2021-01-08,Beer
CAN Ginger Ale,3150,2.0,1.5,3.0,2021-01-08,NonAlcoholic
Shirley Temple,3182,2.0,1.75,3.5,2021-01-08,NonAlcoholic
Cocktail of the Week,3250,2.0,4.0,8.0,2021-01-08,Special
DBL of the WEEK,3251,2.0,0.0,0.0,2021-01-08,Special
Captain Morgan,3258,2.0,5.0,10.0,2021-01-08,Rum
BTL ODouls,3125,2.0,3.25,6.5,2021-01-08,Beer
PIT Miller Lite,3143,2.0,11.0,22.0,2021-01-08,Beer
PIT Spotted Cow,3145,2.0,15.0,30.0,2021-01-08,Beer
SIDE Mayo,2849,2.0,0.25,0.5,2021-01-08,Side
Chix Caesar Salad,2871,2.0,9.0,18.0,2021-01-08,Salad
Cup SOUP,2872,2.0,2.5,5.0,2021-01-08,Side
BTL Eastside Dark,3118,2.0,5.0,10.0,2021-01-08,Beer
BTL LKFT Fixed Gear,3120,2.0,5.0,10.0,2021-01-08,Beer
Tater Tots,2836,2.0,2.0,4.0,2021-01-08,Side
House Salad SM,2837,2.0,3.75,7.5,2021-01-08,Salad
BTL Hop Refresher,3703,2.0,4.5,9.0,2021-01-08,Beer
SHOT Skyy Cherry,3671,2.0,1.5,3.0,2021-01-08,Vodka
House White,3698,2.0,4.0,8.0,2021-01-08,Wine
Patty Melt,3705,2.0,9.5,19.0,2021-01-08,Sandwich
RAIL Gin,3341,2.0,3.5,7.0,2021-01-08,Gin
SHOT RAIL GIN,3454,2.0,3.0,6.0,2021-01-08,Gin
SHOT Jose Cuervo,3475,2.0,1.5,3.0,2021-01-08,Tequila
SHOT Patron XO,3477,1.0,4.0,4.0,2021-01-08,Tequila
SHOT RAIL Tequila,3462,1.0,3.0,3.0,2021-01-08,Tequila
Coke - Refill,3464,1.0,0.0,0.0,2021-01-08,NonAlcoholic
SHOT RAIL Whiskey,3460,1.0,3.0,3.0,2021-01-08,Scotch/Whiskey
SHOT Meyers Dark,3505,1.0,3.0,3.0,2021-01-08,Rum
RAIL Rum,3343,1.0,3.5,3.5,2021-01-08,Rum
PINT Abita TurboDog,3353,1.0,4.5,4.5,2021-01-08,Beer
PIT LKFT Hazy Rabbit,3359,1.0,15.0,15.0,2021-01-08,Beer
SHOT Skyy Raspb,3669,1.0,3.0,3.0,2021-01-08,Vodka
DBL Skyy Cherry,3670,1.0,7.0,7.0,2021-01-08,Vodka
SHOT Makers Mark,3535,1.0,4.0,4.0,2021-01-08,Bourbon
SIDE RANCH,2815,1.0,0.25,0.25,2021-01-08,Side
SHRIMP FRY,2735,1.0,9.99,9.99,2021-01-08,Fish
House Salad LG,2697,1.0,7.5,7.5,2021-01-08,Salad
Thurs Burger,2886,1.0,3.0,3.0,2021-01-08,Burger
SIDE Sm Nacho Chez,2852,1.0,0.0,0.0,2021-01-08,Side
SIDE BBQ,2821,1.0,0.25,0.25,2021-01-08,Side
PIT Stein,3146,1.0,15.0,15.0,2021-01-08,Beer
7-UP,3147,1.0,1.5,1.5,2021-01-08,NonAlcoholic
PIT Miller High Life,3142,1.0,11.0,11.0,2021-01-08,Beer
BTL Bud Light,3114,1.0,4.5,4.5,2021-01-08,Beer
BTL Modelo Especial,3124,1.0,4.5,4.5,2021-01-08,Beer
Absolut,3286,1.0,8.0,8.0,2021-01-08,Vodka
Fireball,3313,1.0,5.0,5.0,2021-01-08,Scotch/Whiskey
Jack Daniels,3315,1.0,5.0,5.0,2021-01-08,Scotch/Whiskey
Seagrams 7,3324,1.0,4.0,4.0,2021-01-08,Scotch/Whiskey
Cranberry JC,3156,1.0,1.5,1.5,2021-01-08,NonAlcoholic
DBL RAIL Vodka,3455,131.0,4.9732824427481,651.5,2020-01-10,Vodka
Skyy Orange BOMB,3372,87.0,1.7931034482759,156.0,2020-01-10,Vodka
SHOT Seagrams VO,3325,84.0,1.8928571428571,159.0,2020-01-10,Scotch/Whiskey
SHOT Tullamore Dew,3327,84.0,2.4285714285714,204.0,2020-01-10,Scotch/Whiskey
Skyy Raspberry BOMB,3369,82.0,2.0975609756098,172.0,2020-01-10,Vodka
PINT Spotted Cow,3140,65.0,3.8076923076923,247.5,2020-01-10,Beer
