Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
Skyy Raspberry BOMB,3369,134.0,2.3283582089552,312.0,2019-10-25
DBL RAIL Vodka,3455,121.0,5.004132231405,605.5,2019-10-25
Skyy Orange BOMB,3372,110.0,2.2909090909091,252.0,2019-10-25
SHOT Tullamore Dew,3327,94.0,2.3404255319149,220.0,2019-10-25
BTL Miller High Life,3122,85.0,2.2176470588235,188.5,2019-10-25
Skyy Ginger BOMB,3371,81.0,2.716049382716,220.0,2019-10-25
PINT Spotted Cow,3140,75.0,3.78,283.5,2019-10-25
SHOT Seagrams VO,3325,65.0,1.5692307692308,102.0,2019-10-25
PINT LKFT IPA,3136,49.0,3.6734693877551,180.0,2019-10-25
PINT Stein,3141,44.0,3.5795454545455,157.5,2019-10-25
PINT Beer of the Week,3356,43.0,2.9302325581395,126.0,2019-10-25
SHOT of the WEEK,3254,41.0,2.4878048780488,102.0,2019-10-25
DBL RAIL Whiskey,3459,40.0,4.7,188.0,2019-10-25
PIT Miller Lite,3143,38.0,10.131578947368,385.0,2019-10-25
CAN Press Blk/Hyb,3130,38.0,4.8684210526316,185.0,2019-10-25
PIT Schlitz,3144,34.0,10.676470588235,363.0,2019-10-25
PINT Miller Lite,3138,33.0,3.0,99.0,2019-10-25
DBL RAIL Gin,3453,33.0,5.1363636363636,169.5,2019-10-25
PIT Miller High Life,3142,32.0,11.0,352.0,2019-10-25
SHOT Cazadores Reposado,3479,31.0,3.2258064516129,100.0,2019-10-25
BTL Miller Lite,3391,29.0,3.25,94.25,2019-10-25
PINT Moon Man,3349,29.0,3.1034482758621,90.0,2019-10-25
PINT Staghorn,3690,27.0,3.9444444444444,106.5,2019-10-25
Bloody Mary,3199,26.0,7.3076923076923,190.0,2019-10-25
DBL RAIL Tequila,3461,25.0,5.26,131.5,2019-10-25
Skyy Peach BOMB,3367,24.0,3.3333333333333,80.0,2019-10-25
CAN PBR 16oz,3129,24.0,4.0,96.0,2019-10-25
CAN Press GF/CAR,3133,23.0,4.1304347826087,95.0,2019-10-25
Skyy Cherry BOMB,3370,23.0,2.0869565217391,48.0,2019-10-25
PIT Spotted Cow,3145,22.0,14.318181818182,315.0,2019-10-25
HH PINT Angry Orchard,3352,22.0,3.6818181818182,81.0,2019-10-25
DBL Captain Morgan,3496,21.0,7.2380952380952,152.0,2019-10-25
VBALL LITE,3410,20.0,0.0,0.0,2019-10-25
SHOT Skyy,3663,20.0,3.0,60.0,2019-10-25
SHOT Jameson,3317,19.0,2.7368421052632,52.0,2019-10-25
PINT Schlitz,3139,19.0,3.0,57.0,2019-10-25
PIT LKFT Hazy Rabbit,3359,18.0,14.166666666667,255.0,2019-10-25
PIT Beer of the Week,3362,18.0,11.0,198.0,2019-10-25
SHOT Fernet,3507,18.0,3.1111111111111,56.0,2019-10-25
DBL RAIL Rum,3457,17.0,4.9705882352941,84.5,2019-10-25
PIT Moon Man,3357,17.0,15.0,255.0,2019-10-25
PINT LKFT Hazy Rabbit,3348,17.0,3.9705882352941,67.5,2019-10-25
PIT Stein,3146,16.0,15.0,240.0,2019-10-25
DBL Titos,3654,16.0,7.5,120.0,2019-10-25
BTL Bud Light,3114,15.0,4.2,63.0,2019-10-25
SHOT Jager Bomb,3274,15.0,5.0,75.0,2019-10-25
OUTSIDE,3253,14.0,0.0,0.0,2019-10-25
PINT K4 Fantasy Factory,3351,14.0,3.5357142857143,49.5,2019-10-25
PINT Miller High Life,3137,14.0,3.0,42.0,2019-10-25
CAN Press Lime,3132,12.0,5.0,60.0,2019-10-25
DBL Jack Daniels,3526,12.0,8.0,96.0,2019-10-25
SHOT Cazadores Blanco,3481,12.0,3.6666666666667,44.0,2019-10-25
SHOT Hennessey,3450,11.0,3.6363636363636,40.0,2019-10-25
CAN Coors Light,3116,11.0,4.0,44.0,2019-10-25
CAN Crispin 16oz,3128,10.0,6.0,60.0,2019-10-25
PINT Abita TurboDog,3353,10.0,3.9,39.0,2019-10-25
SHOT RAIL Tequila,3462,10.0,3.0,30.0,2019-10-25
Skyy Apricot BOMB,3368,10.0,4.0,40.0,2019-10-25
VBALL HI-LIFE,3411,10.0,0.0,0.0,2019-10-25
SHOT Skyy Apricot,3667,10.0,2.1,21.0,2019-10-25
DBL Skyy Ginger,3672,9.0,7.0,63.0,2019-10-25
PINT Guinness,3350,9.0,4.1111111111111,37.0,2019-10-25
SHOT Jagermeister,3234,9.0,4.0,36.0,2019-10-25
CAN Press Pom/Gin,3131,9.0,0.55555555555556,5.0,2019-10-25
Mango Mimosa,3205,8.0,6.0,48.0,2019-10-25
HH PINT Abita Wrought Iron,3354,8.0,3.75,30.0,2019-10-25
DBL Makers Mark,3534,8.0,8.0,64.0,2019-10-25
SHOT Wild Turkey 101,3616,8.0,4.0,32.0,2019-10-25
SHOT Skyy Peach,3665,8.0,2.25,18.0,2019-10-25
DBL Absolut Citron,3656,7.0,8.0,56.0,2019-10-25
DBL Jameson,3538,7.0,8.0,56.0,2019-10-25
BTL Pabst,3126,7.0,3.25,22.75,2019-10-25
Camel Lights,3247,6.0,10.0,60.0,2019-10-25
Bulleit Bourbon,3308,6.0,6.0,36.0,2019-10-25
VBALL SCHLITZ,3412,6.0,0.0,0.0,2019-10-25
DBL RAIL Brandy,3448,6.0,5.5,33.0,2019-10-25
SHOT Rehorst Vodka,3643,6.0,3.3333333333333,20.0,2019-10-25
DBL Skyy Raspb,3668,6.0,7.0,42.0,2019-10-25
SHOT Casamigos,3686,6.0,5.0,30.0,2019-10-25
PIT LKFT Oktoberfest,3691,5.0,15.0,75.0,2019-10-25
DBL Skyy Orange,3676,5.0,7.0,35.0,2019-10-25
VBALL SPOT COW,3415,5.0,4.0,20.0,2019-10-25
DBL Tullamore Dew,3536,5.0,8.0,40.0,2019-10-25
SHOT Jack Ds Honey,3533,5.0,2.4,12.0,2019-10-25
SHOT Bulleit Bourbon,3588,5.0,2.4,12.0,2019-10-25
SHOT Baileys Irish,3541,5.0,4.0,20.0,2019-10-25
SHOT Fireball,3584,5.0,1.6,8.0,2019-10-25
SHOT Rumpleminz,3242,5.0,4.0,20.0,2019-10-25
SHOT Dr McGullicuddys,3226,5.0,1.2,6.0,2019-10-25
RAIL Whiskey,3340,5.0,3.5,17.5,2019-10-25
BTL Modelo Especial,3124,5.0,4.5,22.5,2019-10-25
BTL Corona,3117,4.0,4.5,18.0,2019-10-25
BTL Blue Moon,3113,4.0,4.5,18.0,2019-10-25
BTL LKFT Fixed Gear,3120,4.0,5.0,20.0,2019-10-25
RAIL Vodka,3339,4.0,3.5,14.0,2019-10-25
SHOT Goldschlager,3230,4.0,3.0,12.0,2019-10-25
DBL Bulleit Bourbon,3587,4.0,6.0,24.0,2019-10-25
SHOT Amaretto,3561,4.0,3.0,12.0,2019-10-25
SHOT Sambuca,3555,4.0,4.0,16.0,2019-10-25
DBL Bacardi,3492,4.0,6.0,24.0,2019-10-25
VBALL MOON MAN,3414,4.0,4.0,16.0,2019-10-25
VBALL HAZY RABBIT,3418,4.0,4.0,16.0,2019-10-25
SHOT RAIL Vodka,3456,4.0,3.0,12.0,2019-10-25
SHOT Skyy Cherry,3671,4.0,3.0,12.0,2019-10-25
SHOT Skyy Ginger,3673,3.0,3.0,9.0,2019-10-25
SHOT Patron XO,3477,3.0,4.0,12.0,2019-10-25
VBALL Angry Orchard,3422,3.0,4.0,12.0,2019-10-25
PIT Abita TurboDog,3363,3.0,15.0,45.0,2019-10-25
SHOT Kraken,3501,3.0,4.0,12.0,2019-10-25
DBL Meyers Dark,3504,3.0,6.0,18.0,2019-10-25
DBL Cazadores Blanco,3480,3.0,7.0,21.0,2019-10-25
DBL Bulleit Rye,3589,3.0,8.0,24.0,2019-10-25
White Russian,3215,3.0,5.0,15.0,2019-10-25
Bag Snacks,3246,3.0,0.75,2.25,2019-10-25
Meyers Dark,3261,3.0,4.0,12.0,2019-10-25
RAIL Tequila,3344,3.0,4.1666666666667,12.5,2019-10-25
PIT LKFT IPA,3358,3.0,15.0,45.0,2019-10-25
BTL MGD,3121,3.0,3.25,9.75,2019-10-25
BTL LH Milk Stout,3119,3.0,6.0,18.0,2019-10-25
BTL Budweiser,3115,3.0,4.5,13.5,2019-10-25
Mimosa,3206,3.0,4.0,12.0,2019-10-25
Long Island,3204,2.0,8.0,16.0,2019-10-25
BTL Eastside Dark,3118,2.0,5.0,10.0,2019-10-25
BTL ODouls,3125,2.0,3.25,6.5,2019-10-25
RAIL Rum,3343,2.0,3.5,7.0,2019-10-25
Captain Morgan,3258,2.0,5.0,10.0,2019-10-25
Absolut,3286,2.0,8.0,16.0,2019-10-25
Camel Menthol,3248,2.0,10.0,20.0,2019-10-25
Cocktail of the Week,3250,2.0,4.0,8.0,2019-10-25
Texas Cosmo,3211,2.0,8.0,16.0,2019-10-25
SHOT South. Comfort,3597,2.0,4.0,8.0,2019-10-25
DBL Amaretto,3560,2.0,7.0,14.0,2019-10-25
DBL Seagrams VO,3578,2.0,7.0,14.0,2019-10-25
DBL Hendricks Gin,3485,2.0,9.0,18.0,2019-10-25
DBL Jack D Honey,3532,2.0,8.0,16.0,2019-10-25
VBALL STEIN,3416,2.0,4.0,8.0,2019-10-25
VBALL Beer of the Week,3413,2.0,0.0,0.0,2019-10-25
SHOT Pearl Pom.,3639,2.0,0.0,0.0,2019-10-25
DBL Skyy Cherry,3670,2.0,7.0,14.0,2019-10-25
CAN Apple Press,3695,2.0,5.0,10.0,2019-10-25
SHOT Skyy Raspb,3669,1.0,3.0,3.0,2019-10-25
DBL Stoli Razz,3644,1.0,8.0,8.0,2019-10-25
DBL D.E. Grapefruit,3650,1.0,7.0,7.0,2019-10-25
DBL Ketel One,3658,1.0,10.0,10.0,2019-10-25
SHOT Ketel One,3659,1.0,4.0,4.0,2019-10-25
PIT K4 Fantasy Factory,3360,1.0,15.0,15.0,2019-10-25
PIT Angry Orchard,3361,1.0,15.0,15.0,2019-10-25
DBL Korbel,3452,1.0,7.0,7.0,2019-10-25
VBALL TURBODOG,3419,1.0,4.0,4.0,2019-10-25
DBL Hennessey,3449,1.0,11.0,11.0,2019-10-25
SHOT Jose Cuervo,3475,1.0,3.0,3.0,2019-10-25
SHOT RAIL Whiskey,3460,1.0,3.0,3.0,2019-10-25
 SHOT Crown Royal,3529,1.0,4.0,4.0,2019-10-25
DBL Baileys Irish,3540,1.0,8.25,8.25,2019-10-25
DBL Bombay Sapphire,3486,1.0,8.0,8.0,2019-10-25
SHOT Tanqueray,3489,1.0,0.0,0.0,2019-10-25
SHOT Campari,3549,1.0,3.0,3.0,2019-10-25
DBl Chopin,3634,1.0,8.0,8.0,2019-10-25
SHOT Bulleit Rye,3590,1.0,4.0,4.0,2019-10-25
DBL Seagrams 7,3594,1.0,7.0,7.0,2019-10-25
DBL South. Comfort,3596,1.0,8.0,8.0,2019-10-25
Skyy Orange,3299,1.0,4.0,4.0,2019-10-25
Jack Daniels,3315,1.0,5.0,5.0,2019-10-25
RAIL Gin,3341,1.0,3.5,3.5,2019-10-25
Moscow Mule,3207,1.0,7.0,7.0,2019-10-25
Brew Crew Margarita,3200,1.0,7.0,7.0,2019-10-25
