Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
SHOT Seagrams VO,3325,64.0,2.015625,129.0,2020-11-06
SHOT Tullamore Dew,3327,47.0,3.4893617021277,164.0,2020-11-06
BTL Miller High Life,3122,37.0,3.25,120.25,2020-11-06
PINT Spotted Cow,3140,37.0,4.0135135135135,148.5,2020-11-06
DBL RAIL Vodka,3455,36.0,5.0416666666667,181.5,2020-11-06
Skyy Peach BOMB,3367,34.0,3.8823529411765,132.0,2020-11-06
GRILLED CHEESE,2734,25.0,2.88,72.0,2020-11-06
Skyy Apricot BOMB,3368,23.0,3.1304347826087,72.0,2020-11-06
PINT Moon Man,3349,21.0,1.7142857142857,36.0,2020-11-06
DBL Captain Morgan,3496,21.0,7.6190476190476,160.0,2020-11-06
PINT LKFT IPA,3136,20.0,3.375,67.5,2020-11-06
PINT Schlitz,3139,19.0,1.7368421052632,33.0,2020-11-06
Skyy Orange BOMB,3372,19.0,3.3684210526316,64.0,2020-11-06
BTL Miller Lite,3391,19.0,3.25,61.75,2020-11-06
Skyy Raspberry BOMB,3369,18.0,2.6666666666667,48.0,2020-11-06
FISH FRY,2722,18.0,10.527777777778,189.5,2020-11-06
Locust St. Wings HALF,2858,18.0,6.0277777777778,108.5,2020-11-06
CAN PBR 16oz,3129,17.0,3.5294117647059,60.0,2020-11-06
SHOT Fernet,3507,17.0,2.8235294117647,48.0,2020-11-06
Skyy Cherry BOMB,3370,16.0,2.75,44.0,2020-11-06
Cheese Curds,2728,15.0,8.0,120.0,2020-11-06
Locust St Wings FULL,2729,15.0,10.733333333333,161.0,2020-11-06
Sriracha Strips,2730,14.0,6.6428571428571,93.0,2020-11-06
PINT LKFT Hazy Rabbit,3348,14.0,3.8571428571429,54.0,2020-11-06
PIT Miller Lite,3143,13.0,11.0,143.0,2020-11-06
PINT Stein,3141,12.0,4.125,49.5,2020-11-06
RIVERWEST BURGER,2714,12.0,11.166666666667,134.0,2020-11-06
COMBO FRY,2736,11.0,13.022727272727,143.25,2020-11-06
DBL Jack Daniels,3526,11.0,8.0909090909091,89.0,2020-11-06
SHOT Jose Cuervo,3475,11.0,2.7272727272727,30.0,2020-11-06
SHOT Cazadores Reposado,3479,9.0,3.5555555555556,32.0,2020-11-06
DBL RAIL Gin,3453,9.0,4.3333333333333,39.0,2020-11-06
DBL RAIL Tequila,3461,9.0,4.3888888888889,39.5,2020-11-06
SHOT Jameson,3317,9.0,2.6666666666667,24.0,2020-11-06
Perch FRY,2830,9.0,13.212222222222,118.91,2020-11-06
3 PART COMBO,2831,9.0,16.212222222222,145.91,2020-11-06
All American Burger,2840,9.0,7.5277777777778,67.75,2020-11-06
CAN Press Lime,3132,9.0,5.0,45.0,2020-11-06
PINT Miller High Life,3137,8.0,2.625,21.0,2020-11-06
PIT Miller High Life,3142,8.0,11.0,88.0,2020-11-06
Cocktail of the Week,3250,8.0,4.0,32.0,2020-11-06
BTL Bud Light,3114,8.0,4.5,36.0,2020-11-06
BTL Budweiser,3115,8.0,3.9375,31.5,2020-11-06
CAN Coors Light,3116,8.0,4.0,32.0,2020-11-06
SHOT Skyy Peach,3665,8.0,0.75,6.0,2020-11-06
